year	oil_production
1997	0.590636238
1998	0.662218985
1999	0.654218921
2000	0.67642722
2001	0.722305712
2002	0.826724369
2003	0.953399074
2004	1.08849753
2005	1.089049413
2006	1.251787654
2007	1.324202222
2008	1.338450089
2009	1.484195832
2010	1.64040599
2011	1.806317423
2012	2.00923484
2013	2.165983923
2014	2.408039806
2015	2.642372724
2016	2.794801964
2017	2.982888784
2018	3.151869217
2019	3.29990964
2020	3.466845758
2021	3.644992172
2022	3.82114499
2023	3.974246834
2024	4.083730886
2025	4.219027894
